,alpha_hat,atom,baseline_hat,infinite_norm_of_diff_rel_kernel_0,initializer,lower,m_hat,n_iter,per_atom,sigma_hat,threshold,upper,infinite_norm_of_diff_rel_kernel_1,infinite_norm_of_diff_rel_kernel_2,infinite_norm_of_diff_rel_kernel_6
0,[0.0718022  0.05081896],0.0,1.2477260460162138,0.0,smart_start,0.03,"[0.11542783729260148, 0.4326733583064975]",400.0,,"[0.1410044179953705, 0.004685695965171932]",6e-11,0.5,,,
1,[0.06952061 0.        ],1.0,0.25989993881363765,,smart_start,0.03,"[0.4654476220905331, 0.32222222222222335]",400.0,,"[0.016515045108889657, 0.13635827898192754]",6e-11,0.5,0.0,,
2,[0.78589854 0.        ],2.0,0.09411936670525131,,smart_start,0.03,"[0.08599799178263495, 0.24571428571428555]",400.0,,"[0.00804192045338334, 0.1559987208506143]",6e-11,0.5,,0.0,
3,[0.         0.61338107],6.0,0.136141682045346,,smart_start,0.03,"[0.29238095238095646, 0.18782086929805478]",400.0,,"[0.11879974193914014, 0.013879055871568]",6e-11,0.5,,,0.0
4,[0.08555045 0.05905547],0.0,1.2362358943408072,0.0,smart_start,0.0,"[0.025148042952003513, 0.7640192809394522]",400.0,,"[0.18713221759501325, 0.1578071058298545]",6e-11,0.5,,,
5,[0.06675607 0.        ],1.0,0.26134854554315995,,smart_start,0.0,"[0.46559861538477404, 0.28627450980392327]",400.0,,"[0.015909813807622936, 0.16155244541084204]",6e-11,0.5,0.0,,
6,[0.78052336 0.        ],2.0,0.09693593738910015,,smart_start,0.0,"[0.08616061503584115, 0.24571428571428555]",400.0,,"[0.007956918538769932, 0.1559987208506143]",6e-11,0.5,,0.0,
7,[0.         0.61160483],6.0,0.13706600278878747,,smart_start,0.0,"[0.23111111111111565, 0.1879040487699295]",400.0,,"[0.1553649626039839, 0.013779240054161349]",6e-11,0.5,,,0.0
8,[0.03264947 0.20098029],0.0,1.1901006969847867,0.0,smart_start,0.0,"[1.1816716580202353, 1.5843236459615921]",400.0,,"[0.2761336363717718, 0.6881110204163802]",6e-11,1.0,,,
9,[0.10827181 0.        ],1.0,0.2395944914757449,,smart_start,0.0,"[0.48765246244023375, 0.4973737373737387]",400.0,,"[0.04628153178721834, 0.2721355346316684]",6e-11,1.0,0.0,,
10,[0.78111568 0.01098765],2.0,0.09090779481886173,,smart_start,0.0,"[0.08615194346673652, 0.5717108758120996]",400.0,,"[0.007967986373793264, 0.055279750870639584]",6e-11,1.0,,0.0,
11,[0.         0.61160483],6.0,0.13706600278878747,,smart_start,0.0,"[0.9002386760551853, 0.1879040487699295]",400.0,,"[1e-05, 0.013779240054161347]",6e-11,1.0,,,0.0
12,[0.09279851 0.24983787],0.0,1.1331582900783257,0.0,smart_start,0.0,"[1.4883977918626314, 2.3242898998891066]",400.0,,"[0.09677195993453337, 0.47893635715947064]",6e-11,2.0,,,
13,[0.08010968 0.04092173],1.0,0.2330564024908744,,smart_start,0.0,"[0.5227143472770077, 1.2112771503107085]",400.0,,"[0.08859264440853186, 0.01694283610719615]",6e-11,2.0,0.0,,
14,[7.92897784e-01 1.29691075e-19],2.0,0.09045179741922449,,smart_start,0.0,"[-1.0056385344170296, 0.8766309250419215]",400.0,,"[0.3160084166214759, 0.003419645183422657]",6e-11,2.0,,0.0,
15,[0.         0.61160483],6.0,0.13706600278878747,,smart_start,0.0,"[0.900265752590287, 0.1879040487699295]",400.0,,"[1e-05, 0.013779240054161347]",6e-11,2.0,,,0.0
16,[0.02955676 0.28010447],0.0,1.1505464967050394,0.0,smart_start,0.0,"[2.5667196116300217, 6.774213096126049]",400.0,,"[6.635695667652666, 1.5084158877769236]",6e-11,5.0,,,
17,[0.00044183 0.12966691],1.0,0.22862062545976042,,smart_start,0.0,"[4.715824804173091, 3.9718526286188416]",400.0,,"[0.17582449821224977, 0.18291853129287422]",6e-11,5.0,0.0,,
18,[0. 0.],2.0,0.5059265683723619,,smart_start,0.0,"[nan, -25.891932175527423]",400.0,,"[nan, 1e-05]",6e-11,5.0,,0.0,
19,[0.6046024  0.00314569],6.0,0.13688809323814877,,smart_start,0.0,"[0.8843799899589468, -0.1417711421736867]",400.0,,"[0.05981915340834567, 0.8648080360332873]",6e-11,5.0,,,0.0
20,[0.07384167 0.22475219],0.0,1.1561457116665097,0.0,smart_start,0.0,"[4.797628568396573, 2.0464022521398713]",400.0,,"[2.4303292251731716, 2.9222587394723805]",6e-11,10.0,,,
21,[0.0641785  0.12137921],1.0,0.1995356707423315,,smart_start,0.0,"[12.723568182424152, 11.7455237411479]",400.0,,"[0.8446697885002702, 1.0108092728280311]",6e-11,10.0,0.0,,
22,[0. 0.],2.0,0.5059265683723619,,smart_start,0.0,"[-10.549645827882951, nan]",400.0,,"[1e-05, nan]",6e-11,10.0,,0.0,
23,[0.60508401 0.00064212],6.0,0.13793854137477252,,smart_start,0.0,"[0.8843774097433765, -3.2627491681239067]",400.0,,"[0.059835409171441964, 1.5237138068986626]",6e-11,10.0,,,0.0
